type_heater,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_stories,general_construction,taxable_land,street_code,view_type,basements,category_code,street_code,taxable_land,exterior_condition,garage_spaces,interior_condition,parcel_shape,total_area,total_livable_area,year_built,zip_code,lat,lng,market_value
G,2.0,4.0,8.0,2.0,A ,63300.0,37100.0,I,H,2,37100.0,63300.0,4.0,2.0,4.0,E,2725.0,1920.0,1925.0,19119,40.05019696957756,75.19682498187046,316800.0
A,1.0,3.0,6.0,2.0,A ,40140.0,73060.0,I,D,1,73060.0,40140.0,4.0,1.0,4.0,E,1845.0,1296.0,1950.0,19150,40.06904959101621,75.16987644154949,200700.0
A,1.0,3.0,6.0,2.0,A ,18100.0,89200.0,A,F,1,89200.0,18100.0,4.0,1.0,4.0,E,1592.0,1012.0,1920.0,19142,39.91996286020607,75.22954128474149,90900.0
A,2.0,3.0,7.0,3.0,C ,164400.0,55750.0,0,K,1,55750.0,164400.0,1.0,2.0,1.0,E,2416.0,3300.0,2023.0,19145,39.908490080898254,75.19116866034304,164400.0
A,3.0,3.0,6.0,3.0,C ,44000.0,24380.0,I,A,1,24380.0,44000.0,1.0,0.0,1.0,E,1499.0,2514.0,2023.0,19125,39.97045591215352,75.13085231746712,220000.0
B,2.0,4.0,8.0,2.0,E ,67900.0,51220.0,I,J,2,51220.0,67900.0,4.0,0.0,4.0,A,7500.0,2680.0,1900.0,19128,40.04323566615088,75.22637673179102,339800.0
A,2.0,2.0,5.0,2.0,A ,41080.0,81460.0,I,C,1,81460.0,41080.0,2.0,0.0,2.0,E,672.0,1068.0,1925.0,19148,39.92575174043196,75.16356572614477,205400.0
A,2.0,3.0,6.0,3.0,C ,94960.0,28960.0,I,A,1,28960.0,94960.0,1.0,0.0,1.0,E,672.0,1788.0,2018.0,19146,39.9322892381356,75.17573470733505,474800.0
A,1.0,3.0,6.0,3.0,A ,75300.0,46020.0,I,K,1,46020.0,75300.0,3.0,0.0,2.0,E,724.0,1548.0,1920.0,19122,39.97402733199017,75.1404376057739,376900.0
B,2.0,3.0,7.0,2.0,I ,82720.0,59680.0,C,C,1,59680.0,82720.0,4.0,0.0,2.0,E,4000.0,1440.0,1940.0,19128,40.04594325522779,75.24322175241022,413600.0
A,5.0,5.0,11.0,3.0,A ,42280.0,88240.0,I,A,2,88240.0,42280.0,2.0,0.0,2.0,E,992.0,2139.0,1920.0,19145,39.93004887951163,75.18338502892725,211400.0
B,2.0,3.0,6.0,2.0,A ,35320.0,16280.0,I,A,1,16280.0,35320.0,4.0,0.0,2.0,E,1432.0,1370.0,1925.0,19150,40.074885312592926,75.16465904475668,176600.0
A,1.0,3.0,6.0,2.0,B ,55280.0,87980.0,I,C,1,87980.0,55280.0,4.0,0.0,2.0,E,900.0,1410.0,1932.0,19148,39.91670049214927,75.16294325136188,276400.0
A,1.0,2.0,5.0,2.0,A ,14100.0,18520.0,I,A,1,18520.0,14100.0,3.0,0.0,2.0,E,672.0,1044.0,1920.0,19146,39.93275710293842,75.17402221232203,367600.0
